,Unnamed: 0,index,0_0_x,0_0_y,0_4_x,0_4_y,0_8_x,0_8_y,0_20_x,0_20_y,1_0_x,1_0_y,1_4_x,1_4_y,1_8_x,1_8_y,1_20_x,1_20_y,2_0_x,2_0_y,2_4_x,2_4_y,2_8_x,2_8_y,2_20_x,2_20_y,3_0_x,3_0_y,3_4_x,3_4_y,3_8_x,3_8_y,3_20_x,3_20_y,4_0_x,4_0_y,4_4_x,4_4_y,4_8_x,4_8_y,4_20_x,4_20_y,5_0_x,5_0_y,5_4_x,5_4_y,5_8_x,5_8_y,5_20_x,5_20_y,6_0_x,6_0_y,6_4_x,6_4_y,6_8_x,6_8_y,6_20_x,6_20_y,7_0_x,7_0_y,7_4_x,7_4_y,7_8_x,7_8_y,7_20_x,7_20_y,8_0_x,8_0_y,8_4_x,8_4_y,8_8_x,8_8_y,8_20_x,8_20_y,9_0_x,9_0_y,9_4_x,9_4_y,9_8_x,9_8_y,9_20_x,9_20_y,Label
10,11,Hello_11,0,-2,0,1,0,1,0,-1,0,-5,0,-8,0,-16,0,-10,0,0,0,-3,0,-1,0,-2,0,-6,0,-11,0,-19,0,-25,0,-2,0,-1,0,0,0,7,0,-9,0,-14,0,-19,0,-21,0,-28,0,-33,0,-44,0,-37,0,-7,0,-17,0,-21,0,-18,0,-1,0,3,0,2,0,3,0,-7,0,-13,0,-22,0,-24,Hello
11,12,Hello_12,0,-7,0,-16,0,-12,0,-24,0,-1,0,-3,0,-3,0,2,0,-32,0,-35,0,-33,0,-30,0,-9,0,-18,0,-23,0,-19,0,-2,0,0,0,-1,0,1,0,-11,0,-21,0,-15,0,-16,0,-1,0,1,0,1,0,-1,0,-12,0,-15,0,-22,0,-14,0,0,0,1,0,0,0,0,0,-9,0,-15,0,-17,0,-17,Hello
12,13,Hello_13,0,-15,0,-29,0,-30,0,-25,0,-6,0,-4,0,-8,0,-9,0,0,0,-1,0,-1,0,0,0,-1,0,-3,0,-4,0,-3,0,4,0,2,0,9,0,9,0,0,0,1,0,-2,0,-1,0,9,0,10,0,32,0,23,0,6,0,34,0,18,0,13,0,11,0,17,0,21,0,16,0,-2,0,-3,0,2,0,-1,Hello
13,14,Hello_14,0,10,0,18,0,19,0,19,0,-1,0,-3,0,4,0,-1,0,31,0,43,0,45,0,44,0,23,0,24,0,23,0,32,0,15,0,23,0,21,0,21,0,0,0,0,0,-4,0,3,0,8,0,22,0,37,0,15,0,0,0,-1,0,0,0,1,0,20,0,38,0,49,0,50,0,13,0,14,0,21,0,20,Hello
14,15,Hello_15,0,-2,0,-2,0,-1,0,2,0,11,0,16,0,20,0,20,0,-2,0,1,0,2,0,-1,0,6,0,10,0,11,0,15,0,0,0,7,0,9,0,8,0,1,0,-1,0,0,0,1,0,0,0,2,0,4,0,2,0,-2,0,-11,0,-16,0,-12,0,-7,0,-12,0,-11,0,-14,0,0,0,1,0,-2,0,-1,Hello
15,16,Hello_16,0,-11,0,-12,0,-16,0,-17,0,-3,0,1,0,1,0,-5,0,-12,0,-18,0,-24,0,-15,0,-8,0,-23,0,-28,0,-30,0,-5,0,0,0,-2,0,-1,0,-14,0,-52,0,-66,0,-63,0,-15,0,-22,0,9,0,-26,0,1,0,2,0,-10,0,1,0,-13,0,-12,0,-7,0,-27,0,-2,0,-5,0,-1,0,1,Hello
16,17,Hello_17,0,-29,0,-31,0,-74,0,-25,0,-27,0,-40,0,-47,0,-45,0,-19,0,-23,0,-28,0,-24,0,-1,0,4,0,2,0,0,0,-17,0,-26,0,-27,0,-19,0,0,0,2,0,1,0,-4,0,-16,0,-22,0,-25,0,-19,0,-13,0,-18,0,-20,0,-23,0,1,0,0,0,1,0,1,0,-19,0,-30,0,-37,0,-32,Hello
17,18,Hello_18,0,-2,0,-3,0,-3,0,-5,0,3,0,7,0,1,0,6,0,0,0,-2,0,1,0,-1,0,7,0,13,0,13,0,16,0,1,0,3,0,5,0,-1,0,29,0,52,0,58,0,49,0,16,0,-36,0,32,0,26,0,14,0,73,0,32,0,24,0,3,0,2,0,-1,0,0,0,15,0,28,0,25,0,25,Hello
18,19,Hello_19,0,2,0,-6,0,2,0,-1,0,23,0,46,0,54,0,52,0,23,0,35,0,46,0,24,0,4,0,3,0,-18,0,-4,0,16,0,14,0,25,0,26,0,4,0,17,0,24,0,38,0,2,0,-2,0,-3,0,-2,0,14,0,18,0,24,0,19,0,-2,0,-6,0,-2,0,4,0,5,0,22,0,25,0,18,Hello
19,20,Hello_20,0,17,0,23,0,38,0,34,0,3,0,8,0,16,0,15,0,2,0,2,0,0,0,2,0,-2,0,8,0,6,0,7,0,1,0,-1,0,1,0,0,0,-3,0,-1,0,-2,0,-6,0,-5,0,-16,0,-19,0,-17,0,-10,0,-7,0,-15,0,-10,0,-4,0,-1,0,0,0,-2,0,-6,0,-10,0,-13,0,-17,Hello
20,21,Hello_21,0,-2,0,0,0,0,0,2,0,-4,0,-9,0,-14,0,-13,0,-1,0,0,0,-1,0,-1,0,-6,0,-11,0,-19,0,-20,0,-20,0,-34,0,-43,0,-53,0,-8,0,-9,0,-17,0,-20,0,0,0,-3,0,1,0,1,0,-16,0,-9,0,0,0,-20,0,1,0,-3,0,-25,0,5,0,-7,0,-21,0,-21,0,-22,Hello
21,22,Hello_22,0,-19,0,-37,0,-43,0,-33,0,-6,0,-15,0,-19,0,-19,0,-1,0,2,0,-1,0,-1,0,-8,0,-13,0,-16,0,-11,0,-8,0,-13,0,-18,0,-16,0,0,0,1,0,2,0,-1,0,-18,0,-28,0,-36,0,-27,0,-9,0,-11,0,-17,0,-15,0,-13,0,-21,0,-18,0,-16,0,-1,0,3,0,0,0,-3,Hello
22,23,Hello_23,0,-4,0,-15,0,-17,0,-13,0,-1,0,2,0,2,0,-1,0,-6,0,-9,0,-13,0,-8,0,5,0,7,0,6,0,5,0,-1,0,0,0,1,0,-1,0,9,0,14,0,16,0,17,0,-3,0,-2,0,3,0,-2,0,9,0,24,0,27,0,21,0,18,0,-45,0,30,0,26,0,1,0,4,0,-5,0,1,Hello
23,24,Hello_24,0,22,0,94,0,56,0,52,0,18,0,38,0,35,0,23,0,14,0,19,0,22,0,24,0,1,0,0,0,3,0,-1,0,15,0,18,0,14,0,22,0,2,0,-1,0,5,0,-3,0,12,0,18,0,23,0,26,0,19,0,28,0,45,0,50,0,-1,0,17,0,35,0,20,0,3,0,1,0,-1,0,1,Hello
24,25,Hello_25,0,4,0,11,0,14,0,19,0,-1,0,1,0,1,0,-2,0,6,0,6,0,7,0,11,0,-3,0,0,0,1,0,-1,0,4,0,4,0,9,0,8,0,2,0,6,0,10,0,14,0,0,0,1,0,-1,0,-2,0,0,0,0,0,-1,0,0,0,1,0,-9,0,-9,0,-6,0,-1,0,2,0,1,0,-3,Hello
25,26,Hello_26,0,-9,0,-26,0,-35,0,-38,0,-9,0,-15,0,-24,0,-16,0,-15,0,-19,0,-39,0,-23,0,0,0,1,0,0,0,3,0,-8,0,-21,0,-14,0,-40,0,-2,0,2,0,2,0,2,0,-13,0,-18,0,-24,0,-27,0,-20,0,-40,0,-55,0,-42,0,-7,0,-18,0,-27,0,-20,0,0,0,0,0,-2,0,-3,Hello
26,27,Hello_27,0,-9,0,-20,0,-19,0,-22,0,-12,0,-17,0,-30,0,-12,0,-2,0,1,0,1,0,-2,0,-10,0,-17,0,-26,0,-18,0,-2,0,-1,0,2,0,-2,0,-27,0,-35,0,-44,0,-33,0,-6,0,-11,0,-13,0,-15,0,-1,0,2,0,3,0,0,0,-5,0,-5,0,-7,0,-8,0,-2,0,-3,0,-4,0,-6,Hello
27,28,Hello_28,0,0,0,0,0,0,0,-1,0,2,0,6,0,5,0,6,0,4,0,7,0,17,0,11,0,-1,0,2,0,3,0,-1,0,7,0,16,0,20,0,18,0,5,0,13,0,16,0,12,0,0,0,-2,0,4,0,-2,0,4,0,11,0,11,0,14,0,1,0,-4,0,3,0,-1,0,7,0,4,0,15,0,17,Hello
28,29,Hello_29,0,16,0,46,0,48,0,39,0,12,0,23,0,29,0,25,0,3,0,-5,0,3,0,-1,0,10,0,21,0,23,0,24,0,2,0,1,0,0,0,-1,0,15,0,16,0,26,0,25,0,-1,0,0,0,-6,0,1,0,23,0,23,0,19,0,44,0,28,0,39,0,58,0,42,0,6,0,20,0,37,0,33,Hello
29,30,Hello_30,0,4,0,-2,0,-3,0,-5,0,14,0,16,0,18,0,20,0,2,0,0,0,-1,0,1,0,10,0,11,0,18,0,19,0,16,0,19,0,24,0,30,0,3,0,6,0,5,0,10,0,-2,0,0,0,-1,0,-1,0,-1,0,-1,0,1,0,0,0,0,0,-1,0,0,0,-1,0,-5,0,-4,0,-6,0,-8,Hello
30,31,Hello_31,0,-5,0,-12,0,-12,0,-9,0,0,0,0,0,-2,0,-4,0,-22,0,-27,0,-40,0,-45,0,-6,0,-16,0,-29,0,-26,0,-10,0,-14,0,-21,0,-19,0,-1,0,-3,0,2,0,-1,0,-16,0,-20,0,-33,0,-23,0,0,0,1,0,1,0,-2,0,-31,0,-36,0,-17,0,-70,0,-22,0,-26,0,-54,0,-21,Hello
31,32,Hello_32,0,1,0,2,0,1,0,2,0,-14,0,-26,0,-32,0,-28,0,-13,0,-17,0,-25,0,-22,0,2,0,4,0,0,0,0,0,-21,0,-40,0,-40,0,-29,0,-11,0,-13,0,-19,0,-20,0,0,0,-4,0,0,0,0,0,-13,0,-12,0,-19,0,-15,0,-10,0,-17,0,-21,0,-18,0,0,0,1,0,2,0,0,Hello
32,33,Hello_33,0,-9,0,-12,0,-16,0,-10,0,0,0,2,0,4,0,-3,0,0,0,-4,0,-5,0,-2,0,8,0,8,0,10,0,13,0,4,0,11,0,11,0,9,0,-1,0,0,0,1,0,-2,0,11,0,16,0,17,0,16,0,-1,0,-1,0,2,0,0,0,9,0,5,0,21,0,18,0,37,0,54,0,62,0,54,Hello
33,34,Hello_34,0,23,0,38,0,36,0,28,0,0,0,-2,0,9,0,2,0,20,0,26,0,20,0,26,0,-3,0,0,0,28,0,1,0,35,0,39,0,5,0,57,0,19,0,16,0,27,0,23,0,4,0,20,0,40,0,20,0,0,0,0,0,-3,0,0,0,2,0,16,0,24,0,24,0,3,0,0,0,1,0,-2,Hello
34,35,Hello_35,0,6,0,10,0,15,0,16,0,1,0,0,0,0,0,1,0,9,0,10,0,12,0,18,0,9,0,16,0,28,0,26,0,4,0,8,0,7,0,11,0,1,0,0,0,-2,0,-3,0,0,0,1,0,2,0,3,0,-3,0,-8,0,-7,0,-12,0,-2,0,2,0,0,0,1,0,-10,0,-27,0,-35,0,-33,Hello
35,36,Hello_36,0,-5,0,-14,0,-21,0,-28,0,1,0,-1,0,-1,0,-3,0,-20,0,-16,0,-33,0,-14,0,-13,0,-30,0,-57,0,-23,0,-3,0,1,0,3,0,2,0,-34,0,-33,0,-24,0,-84,0,-21,0,-26,0,-33,0,-22,0,0,0,2,0,4,0,0,0,-10,0,-18,0,-24,0,-20,0,-2,0,2,0,-1,0,-1,Hello
36,37,Hello_37,0,-13,0,-23,0,-28,0,-25,0,0,0,0,0,-2,0,-1,0,-11,0,-28,0,-27,0,-22,0,-34,0,-40,0,-49,0,-42,0,-13,0,-17,0,-20,0,-15,0,-6,0,-10,0,-9,0,-12,0,2,0,1,0,2,0,-1,0,-4,0,-6,0,-6,0,-4,0,-1,0,1,0,0,0,-1,0,3,0,-2,0,-3,0,0,Hello
37,38,Hello_38,0,1,0,0,0,0,0,1,0,3,0,7,0,6,0,10,0,26,0,37,0,51,0,41,0,14,0,28,0,26,0,22,0,4,0,5,0,-2,0,1,0,18,0,10,0,22,0,22,0,2,0,1,0,0,0,-3,0,16,0,23,0,25,0,22,0,30,0,43,0,81,0,47,0,17,0,24,0,-10,0,23,Hello
38,39,Hello_39,0,5,0,0,0,-6,0,1,0,10,0,20,0,32,0,34,0,3,0,2,0,-5,0,2,0,14,0,15,0,29,0,14,0,1,0,0,0,-8,0,-1,0,9,0,18,0,30,0,19,0,27,0,34,0,54,0,48,0,7,0,16,0,19,0,17,0,-1,0,0,0,0,0,1,0,6,0,10,0,12,0,16,Hello
39,40,Hello_40,0,6,0,8,0,9,0,9,0,0,0,0,0,1,0,-4,0,-8,0,-8,0,-6,0,-3,0,-4,0,-9,0,-15,0,-9,0,-2,0,0,0,0,0,-2,0,-10,0,-15,0,-19,0,-26,0,-9,0,-15,0,-20,0,-20,0,2,0,-2,0,1,0,-1,0,-35,0,-35,0,-53,0,-43,0,-17,0,-19,0,-26,0,-21,Hello
40,41,Hello_41,0,0,0,0,0,3,0,-1,0,-16,0,-14,0,-25,0,-28,0,3,0,-2,0,0,0,0,0,-19,0,-21,0,-26,0,-24,0,-10,0,-16,0,5,0,-23,0,1,0,-5,0,-3,0,2,0,-30,0,-47,0,-74,0,-45,0,-4,0,-16,0,-26,0,-21,0,-18,0,-32,0,-19,0,-22,0,-3,0,4,0,2,0,-2,Hello
41,42,Hello_42,0,-11,0,-14,0,-25,0,-17,0,-1,0,1,0,2,0,-2,0,-8,0,-20,0,-20,0,-14,0,-8,0,-15,0,-18,0,-18,0,-3,0,0,0,3,0,-3,0,1,0,1,0,1,0,0,0,3,0,9,0,5,0,12,0,-1,0,1,0,3,0,0,0,19,0,22,0,45,0,44,0,18,0,40,0,28,0,22,Hello
42,43,Hello_43,0,16,0,14,0,20,0,24,0,1,0,3,0,2,0,-4,0,17,0,23,0,22,0,26,0,3,0,1,0,-4,0,-2,0,33,0,43,0,42,0,49,0,20,0,24,0,35,0,37,0,29,0,21,0,28,0,28,0,-2,0,-1,0,-7,0,1,0,9,0,20,0,29,0,19,0,-1,0,1,0,4,0,2,Hello
43,44,Hello_44,0,5,0,16,0,29,0,27,0,-2,0,0,0,0,0,0,0,10,0,13,0,18,0,26,0,10,0,22,0,40,0,43,0,4,0,9,0,16,0,15,0,2,0,0,0,-4,0,3,0,-2,0,4,0,11,0,6,0,-5,0,2,0,3,0,2,0,0,0,1,0,0,0,-4,0,-3,0,-8,0,-9,0,-9,Hello
44,45,Hello_45,0,-8,0,-13,0,-14,0,-10,0,0,0,1,0,-2,0,3,0,-12,0,-12,0,-13,0,-21,0,-2,0,2,0,-1,0,-2,0,-9,0,-14,0,-18,0,-23,0,-15,0,-30,0,-47,0,-48,0,-18,0,-19,0,-39,0,-28,0,1,0,0,0,1,0,2,0,-13,0,-17,0,-12,0,-36,0,0,0,0,0,-1,0,-1,Hello
45,46,Hello_46,0,-15,0,-17,0,-25,0,-25,0,-16,0,-20,0,-18,0,-25,0,1,0,0,0,0,0,2,0,-24,0,-41,0,-50,0,-38,0,-5,0,-10,0,-23,0,-21,0,-8,0,-20,0,-22,0,-16,0,-3,0,0,0,2,0,-2,0,-4,0,-17,0,-18,0,-10,0,-2,0,-3,0,2,0,-2,0,-10,0,-7,0,-17,0,-13,Hello
46,47,Hello_47,0,-3,0,-5,0,-5,0,-7,0,2,0,-2,0,-4,0,-2,0,0,0,-1,0,-1,0,-1,0,3,0,5,0,5,0,7,0,0,0,2,0,1,0,1,0,17,0,39,0,49,0,41,0,18,0,11,0,22,0,26,0,1,0,6,0,3,0,-5,0,19,0,27,0,31,0,28,0,32,0,38,0,49,0,51,Hello
47,48,Hello_48,0,24,0,28,0,17,0,30,0,-5,0,1,0,-4,0,1,0,21,0,17,0,32,0,20,0,14,0,17,0,24,0,22,0,-1,0,-1,0,-1,0,4,0,6,0,15,0,25,0,21,0,5,0,0,0,0,0,0,0,9,0,13,0,18,0,16,0,20,0,25,0,38,0,39,0,7,0,11,0,14,0,18,Hello
48,49,Hello_49,0,0,0,0,0,-3,0,0,0,4,0,6,0,12,0,14,0,1,0,1,0,-2,0,-2,0,-2,0,3,0,8,0,9,0,-3,0,-3,0,-6,0,-9,0,-4,0,-11,0,-12,0,-11,0,-1,0,0,0,-2,0,0,0,-11,0,-14,0,-13,0,-18,0,-3,0,0,0,-1,0,-3,0,-25,0,-28,0,-43,0,-49,Hello
49,1,Stop_1,0,7,0,1,0,3,0,4,0,2,0,-2,0,-2,0,2,0,12,0,9,0,9,0,14,0,1,0,6,0,8,0,3,0,1,0,-2,0,-2,0,2,0,4,0,7,0,4,0,0,0,1,0,6,0,4,0,-1,0,-2,0,-2,0,0,0,0,0,4,0,8,0,4,0,-4,0,-2,0,-3,0,-2,0,-1,Stop
50,2,Stop_2,0,5,0,11,0,5,0,-3,0,23,0,15,0,3,0,-14,0,20,0,12,0,4,0,-11,0,-2,0,1,0,2,0,2,0,19,0,18,0,13,0,0,0,18,0,40,0,22,0,6,0,2,0,5,0,2,0,-1,0,24,0,13,0,15,0,4,0,2,0,4,0,2,0,-1,0,14,0,20,0,10,0,-9,Stop
51,3,Stop_3,0,-5,0,0,0,-4,0,-9,0,-1,0,0,0,2,0,0,0,-2,0,-2,0,-6,0,-12,0,4,0,2,0,-2,0,1,0,-2,0,-5,0,-1,0,-3,0,11,0,-14,0,-3,0,16,0,4,0,-4,0,-5,0,12,0,2,0,-1,0,0,0,2,0,-4,0,-9,0,-5,0,9,0,-6,0,-1,0,1,0,3,Stop
52,4,Stop_4,0,-10,0,-9,0,-3,0,6,0,-8,0,-9,0,-5,0,7,0,5,0,-4,0,-6,0,0,0,-5,0,-18,0,-13,0,12,0,-1,0,-8,0,-8,0,2,0,-3,0,-9,0,-5,0,5,0,0,0,-2,0,1,0,-1,0,-4,0,-7,0,-3,0,2,0,1,0,1,0,0,0,-1,0,-5,0,-7,0,-4,0,3,Stop
53,5,Stop_5,0,1,0,-2,0,0,0,-2,0,-4,0,-8,0,-4,0,2,0,-11,0,-8,0,-5,0,-2,0,-2,0,-4,0,-1,0,5,0,0,0,0,0,0,0,-1,0,-2,0,0,0,-2,0,-2,0,1,0,1,0,0,0,-1,0,1,0,7,0,1,0,-5,0,3,0,7,0,2,0,-6,0,0,0,5,0,0,0,-7,Stop
54,6,Stop_6,0,-1,0,0,0,-2,0,-1,0,6,0,7,0,4,0,-4,0,0,0,-1,0,0,0,-2,0,5,0,8,0,3,0,-4,0,10,0,13,0,4,0,-13,0,-2,0,10,0,5,0,-8,0,0,0,1,0,-1,0,-2,0,7,0,6,0,7,0,-5,0,-3,0,11,0,3,0,-7,0,1,0,2,0,1,0,1,Stop
55,7,Stop_7,0,-1,0,6,0,5,0,-5,0,0,0,1,0,0,0,1,0,-10,0,5,0,7,0,-15,0,-1,0,4,0,1,0,-6,0,-4,0,-1,0,0,0,0,0,-1,0,1,0,-2,0,6,0,2,0,-2,0,7,0,12,0,-3,0,1,0,-2,0,1,0,5,0,-8,0,2,0,19,0,1,0,-11,0,-9,0,4,Stop
56,8,Stop_8,0,-2,0,5,0,3,0,3,0,-2,0,-18,0,-6,0,3,0,2,0,5,0,-3,0,1,0,-7,0,-13,0,-4,0,3,0,1,0,-13,0,-11,0,0,0,-4,0,2,0,0,0,-1,0,-15,0,-23,0,-15,0,1,0,-7,0,-12,0,-6,0,0,0,-2,0,-6,0,-3,0,4,0,2,0,1,0,-2,0,1,Stop
57,9,Stop_9,0,-3,0,-3,0,-1,0,4,0,3,0,0,0,1,0,2,0,-1,0,0,0,1,0,4,0,0,0,-1,0,5,0,11,0,0,0,0,0,5,0,7,0,2,0,0,0,-3,0,-1,0,2,0,1,0,2,0,1,0,0,0,-2,0,-4,0,-1,0,0,0,2,0,3,0,-1,0,-1,0,1,0,-3,0,-4,Stop
58,10,Stop_10,0,-2,0,3,0,0,0,-8,0,-1,0,0,0,0,0,0,0,0,0,2,0,-3,0,-7,0,-1,0,1,0,1,0,0,0,-8,0,-4,0,-11,0,-23,0,-5,0,1,0,-2,0,-12,0,-4,0,3,0,-3,0,-12,0,0,0,0,0,0,0,0,0,-4,0,5,0,3,0,-9,0,-1,0,2,0,0,0,-1,Stop
59,11,Stop_11,0,1,0,4,0,-1,0,-13,0,-1,0,1,0,-1,0,-1,0,4,0,4,0,1,0,-9,0,22,0,34,0,20,0,2,0,21,0,15,0,18,0,7,0,-2,0,4,0,3,0,-1,0,20,0,16,0,13,0,11,0,15,0,6,0,4,0,0,0,10,0,24,0,10,0,8,0,2,0,17,0,30,0,3,Stop
60,12,Stop_12,0,-6,0,0,0,4,0,2,0,-2,0,0,0,-5,0,1,0,1,0,3,0,3,0,20,0,1,0,1,0,4,0,-5,0,7,0,0,0,8,0,26,0,12,0,-4,0,6,0,34,0,15,0,-5,0,0,0,13,0,-3,0,1,0,-1,0,0,0,8,0,-4,0,-1,0,12,0,-3,0,-2,0,0,0,0,Stop
61,13,Stop_13,0,4,0,-4,0,-3,0,10,0,1,0,-4,0,0,0,7,0,-3,0,-3,0,0,0,2,0,-5,0,-3,0,2,0,11,0,10,0,0,0,6,0,23,0,2,0,4,0,8,0,11,0,0,0,-1,0,-1,0,1,0,6,0,3,0,6,0,11,0,1,0,1,0,0,0,-1,0,10,0,-1,0,8,0,14,Stop
62,14,Stop_14,0,-1,0,-3,0,0,0,4,0,2,0,1,0,1,0,2,0,0,0,-1,0,-4,0,1,0,2,0,-2,0,-4,0,2,0,-1,0,1,0,1,0,0,0,3,0,0,0,-1,0,3,0,1,0,0,0,0,0,0,0,7,0,13,0,11,0,6,0,6,0,8,0,10,0,6,0,13,0,16,0,10,0,8,Stop
63,15,Stop_15,0,2,0,-3,0,1,0,-1,0,6,0,15,0,11,0,6,0,3,0,-2,0,0,0,-2,0,7,0,12,0,6,0,3,0,3,0,0,0,2,0,0,0,7,0,14,0,8,0,4,0,26,0,31,0,29,0,14,0,7,0,20,0,15,0,6,0,-3,0,0,0,1,0,1,0,17,0,16,0,15,0,8,Stop
64,16,Stop_16,0,9,0,14,0,11,0,1,0,-5,0,1,0,0,0,0,0,15,0,19,0,19,0,1,0,-6,0,10,0,10,0,-1,0,-2,0,-1,0,0,0,1,0,-2,0,5,0,8,0,1,0,-4,0,0,0,-1,0,-2,0,-12,0,-4,0,0,0,-5,0,4,0,0,0,0,0,0,0,-18,0,-9,0,-11,0,-13,Stop
65,17,Stop_17,0,-20,0,-37,0,-36,0,-32,0,-12,0,-22,0,-26,0,-26,0,1,0,1,0,-2,0,0,0,-19,0,-28,0,-24,0,-13,0,-12,0,-21,0,-26,0,-16,0,4,0,-1,0,0,0,2,0,-20,0,-20,0,-18,0,-13,0,-45,0,-34,0,-32,0,-17,0,-6,0,-18,0,-12,0,-7,0,1,0,-1,0,-3,0,1,Stop
66,18,Stop_18,0,-8,0,-8,0,0,0,5,0,1,0,2,0,-1,0,-1,0,-6,0,-6,0,1,0,11,0,0,0,0,0,1,0,4,0,1,0,-1,0,2,0,5,0,0,0,0,0,2,0,-1,0,3,0,-1,0,-2,0,8,0,-1,0,0,0,0,0,0,0,4,0,1,0,2,0,3,0,-1,0,0,0,-1,0,1,Stop
